======================================================================
CONTEO DE FRECUENCIA DE PALABRAS
======================================================================
Total de palabras: 100
Palabras únicas: 99
======================================================================
PALABRA                        FRECUENCIA      PORCENTAJE     
----------------------------------------------------------------------
conservative                   2                 2.00%
achievement                    1                 1.00%
adequate                       1                 1.00%
adventures                     1                 1.00%
anal                           1                 1.00%
andrews                        1                 1.00%
assessed                       1                 1.00%
bedding                        1                 1.00%
blues                          1                 1.00%
buying                         1                 1.00%
cartridge                      1                 1.00%
cgi                            1                 1.00%
championship                   1                 1.00%
clear                          1                 1.00%
club                           1                 1.00%
coastal                        1                 1.00%
collect                        1                 1.00%
comm                           1                 1.00%
confirm                        1                 1.00%
consistent                     1                 1.00%
contamination                  1                 1.00%
could                          1                 1.00%
cove                           1                 1.00%
craps                          1                 1.00%
customized                     1                 1.00%
danish                         1                 1.00%
dial                           1                 1.00%
drum                           1                 1.00%
ebony                          1                 1.00%
enhanced                       1                 1.00%
exhaust                        1                 1.00%
explorer                       1                 1.00%
father                         1                 1.00%
firms                          1                 1.00%
fonts                          1                 1.00%
glenn                          1                 1.00%
gothic                         1                 1.00%
guestbook                      1                 1.00%
hiking                         1                 1.00%
hyundai                        1                 1.00%
influences                     1                 1.00%
instrumentation                1                 1.00%
introduces                     1                 1.00%
journey                        1                 1.00%
kinda                          1                 1.00%
kodak                          1                 1.00%
leisure                        1                 1.00%
liable                         1                 1.00%
lies                           1                 1.00%
locks                          1                 1.00%
louis                          1                 1.00%
malpractice                    1                 1.00%
manufacturer                   1                 1.00%
marathon                       1                 1.00%
math                           1                 1.00%
matters                        1                 1.00%
meals                          1                 1.00%
media                          1                 1.00%
mon                            1                 1.00%
mortality                      1                 1.00%
mother                         1                 1.00%
nba                            1                 1.00%
newer                          1                 1.00%
nightmare                      1                 1.00%
nor                            1                 1.00%
oakland                        1                 1.00%
p                              1                 1.00%
password                       1                 1.00%
pct                            1                 1.00%
pens                           1                 1.00%
permission                     1                 1.00%
permissions                    1                 1.00%
peter                          1                 1.00%
photography                    1                 1.00%
pin                            1                 1.00%
potentially                    1                 1.00%
pubmed                         1                 1.00%
recorded                       1                 1.00%
regulatory                     1                 1.00%
rl                             1                 1.00%
scoring                        1                 1.00%
seats                          1                 1.00%
seed                           1                 1.00%
shadow                         1                 1.00%
shower                         1                 1.00%
significance                   1                 1.00%
sparc                          1                 1.00%
sure                           1                 1.00%
tab                            1                 1.00%
taxes                          1                 1.00%
tea                            1                 1.00%
teaches                        1                 1.00%
tions                          1                 1.00%
trained                        1                 1.00%
uni                            1                 1.00%
vagina                         1                 1.00%
wan                            1                 1.00%
webcast                        1                 1.00%
worse                          1                 1.00%
======================================================================
Tiempo de ejecución: 0.000506 segundos
======================================================================
